,gene_id,gene,From,Entry,Gene Names (primary),LOEUF,transcript,repressor,activator,sfari
832,ENSG00000197951,ZNF71,ZNF71,Q9NQZ8,ZNF71,1.85,ENST00000599599,False,False,False
833,ENSG00000140548,ZNF710,ZNF710,Q8N1W2,ZNF710,0.395,ENST00000268154,True,False,False
834,ENSG00000147180,ZNF711,ZNF711,Q9Y462,ZNF711,,,True,False,True
835,ENSG00000178665,ZNF713,ZNF713,Q8N859,ZNF713,1.016,ENST00000429591,False,False,True
836,ENSG00000160352,ZNF714,ZNF714,Q96N38,ZNF714,0.925,ENST00000456283,False,False,False
837,ENSG00000182111,ZNF716,ZNF716,A6NP11,ZNF716,1.349,ENST00000420713,False,False,False
838,ENSG00000227124,ZNF717,ZNF717,Q9BY31,ZNF717,1.45,ENST00000652011,False,False,False
839,ENSG00000250312,ZNF718,ZNF718,Q3SXZ3,ZNF718,1.918,ENST00000510175,True,False,False
840,ENSG00000182903,ZNF721,ZNF721,Q8TF20,ZNF721,1.85,ENST00000511833,True,False,False
841,ENSG00000196081,ZNF724,ZNF724,A8MTY0,ZNF724,0.861,ENST00000418100,False,False,False
842,ENSG00000213967,ZNF726,ZNF726,A6NNF4,ZNF726,1.841,ENST00000594466,False,False,False
843,ENSG00000214652,ZNF727,ZNF727,A8MUV8,ZNF727,1.782,ENST00000456806,False,False,False
844,ENSG00000269067,ZNF728,ZNF728,P0DKX0,ZNF728,1.546,ENST00000594710,False,False,False
845,ENSG00000196350,ZNF729,ZNF729,A6NN14,ZNF729,1.739,ENST00000601693,True,False,False
846,ENSG00000183850,ZNF730,ZNF730,Q6ZMV8,ZNF730,1.637,ENST00000597761,False,False,False
847,ENSG00000186777,ZNF732,ZNF732,B4DXR9,ZNF732,1.625,ENST00000419098,False,False,False
848,ENSG00000223614,ZNF735,ZNF735,P0CB33,ZNF735,1.556,ENST00000429565,False,False,False
849,ENSG00000234444,ZNF736,ZNF736,B4DX44,ZNF736,1.218,ENST00000423484,False,False,False
850,ENSG00000237440,ZNF737,ZNF737,O75373,ZNF737,1.703,ENST00000427401,False,False,False
851,ENSG00000185252,ZNF74,ZNF74,Q16587,ZNF74,1.184,ENST00000400451,True,False,False
852,ENSG00000139651,ZNF740,ZNF740,Q8NDX6,ZNF740,0.98,ENST00000416904,False,False,False
853,ENSG00000181220,ZNF746,ZNF746,Q6NUN9,ZNF746,0.55,ENST00000458143,True,False,False
854,ENSG00000169955,ZNF747,ZNF747,Q9BV97,ZNF747,1.799,ENST00000693075,False,False,False
855,ENSG00000186230,ZNF749,ZNF749,O43361,ZNF749,1.814,ENST00000334181,False,False,False
856,ENSG00000141579,ZNF750,ZNF750,Q32MQ0,ZNF750,0.554,ENST00000269394,True,False,False
857,ENSG00000162086,ZNF75A,ZNF75A,Q96N20,ZNF75A,0.954,ENST00000669516,False,False,False
858,ENSG00000186376,ZNF75D,ZNF75D,P51815,ZNF75D,,,False,False,False
859,ENSG00000065029,ZNF76,ZNF76,P36508,ZNF76,1.197,ENST00000373953,True,False,False
860,ENSG00000160336,ZNF761,ZNF761,Q86XN6,ZNF761,0.896,ENST00000684525,True,False,False
861,ENSG00000197054,ZNF763,ZNF763,Q0D2J5,ZNF763,1.117,ENST00000358987,False,False,False
862,ENSG00000169951,ZNF764,ZNF764,Q96H86,ZNF764,1.338,ENST00000395091,True,False,False
863,ENSG00000196417,ZNF765,ZNF765,Q7L2R6,ZNF765,1.074,ENST00000396408,False,False,False
864,ENSG00000196214,ZNF766,ZNF766,Q5HY98,ZNF766,1.792,ENST00000439461,False,False,False
865,ENSG00000169957,ZNF768,ZNF768,Q9H5H4,ZNF768,0.499,ENST00000380412,False,False,False
